키워드,검색수PC,검색수M,클릭수PC,클릭수M,클릭률PC,클릭률M,광고수,경쟁정도
나이키130,10,160,0.0,1.3,0.0,0.71,3,중간
나이키140,10,190,0.0,0.8,0.0,0.4,3,중간
나이키160,< 10,120,0.4,1.4,6.25,1.01,3,높음
나이키255,10,60,0.0,0.0,0.0,0.0,3,높음
나이키275,10,50,0.3,0.3,4.17,0.52,3,높음
나이키300사이즈,10,50,0.7,3.2,8.11,6.18,4,중간
나이키ABC마트,10,60,0.8,7.2,9.38,12.2,4,중간
나이키가성비신발,< 10,20,0.0,0.0,0.0,0.0,3,높음
나이키갈색운동화,80,940,0.3,0.3,0.45,0.04,3,높음
나이키굽,10,60,0.0,0.0,0.0,0.0,3,중간
나이키굽있는운동화,< 10,10,0.0,0.0,0.0,0.0,3,높음
나이키그린,20,220,0.0,0.3,0.0,0.16,3,높음
나이키기본운동화,< 10,50,0.0,0.7,0.0,1.26,3,높음
나이키남성운동화추천,< 10,30,0.3,0.0,3.13,0.0,4,중간
나이키남자겨울운동화,10,130,1.3,0.5,6.77,0.43,7,높음
나이키네이비운동화,< 10,20,0.3,0.0,16.67,0.0,3,높음
나이키노원,< 10,60,0.0,0.0,0.0,0.0,3,중간
나이키데일리,< 10,20,0.0,0.3,0.0,1.15,3,높음
나이키디자인,10,20,0.0,0.0,0.0,0.0,3,높음
나이키발사이즈,< 10,60,0.0,0.0,0.0,0.0,0,낮음
나이키블랙런닝화,< 10,10,0.0,0.0,0.0,0.0,3,높음
나이키스웨이드운동화,10,130,0.0,0.3,0.0,0.27,3,높음
나이키슬립온운동화,< 10,10,0.0,0.0,0.0,0.0,3,높음
나이키신발판매,10,10,0.0,0.3,0.0,1.97,3,높음
나이키신발할인매장,< 10,10,0.0,0.3,0.0,4.77,3,높음
나이키아빠운동화,< 10,30,0.0,0.0,0.0,0.0,3,높음
나이키아이신발,< 10,20,0.0,0.3,0.0,1.29,3,높음
나이키어글리,20,120,0.0,0.3,0.0,0.2,3,중간
나이키에어여성,< 10,70,0.2,0.0,2.57,0.0,4,중간
나이키에어추천,< 10,20,0.3,0.0,8.34,0.0,3,높음
나이키여름,< 10,20,0.0,0.0,0.0,0.0,7,높음
나이키여성용운동화,< 10,20,0.0,1.5,0.0,7.6,7,높음
나이키여자신발추천,< 10,20,0.0,0.0,0.0,0.0,3,중간
나이키올검운동화,10,80,0.0,1.0,0.0,1.43,3,높음
나이키운동화남자,< 10,70,0.1,2.6,1.59,3.71,7,높음
나이키운동화베스트,< 10,20,0.0,0.0,0.0,0.0,3,높음
나이키운동화주니어,10,180,0.0,2.2,0.0,1.23,5,중간
나이키운동화화이트,< 10,60,0.0,0.3,0.0,0.63,3,중간
나이키운동화흰색,10,70,0.4,1.0,3.62,1.52,7,높음
나이키은색운동화,30,660,0.0,1.7,0.0,0.27,3,높음
나이키이월운동화,< 10,30,0.0,2.8,0.0,9.83,7,높음
나이키일상화,20,30,0.0,0.0,0.0,0.0,3,높음
나이키정품샵,< 10,< 10,0.0,0.3,0.0,6.67,3,높음
나이키주니어운동화사이즈,< 10,30,0.0,0.0,0.0,0.0,0,낮음
나이키초경량운동화,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
나이키초록,< 10,100,0.0,0.7,0.0,0.62,3,높음
나이키커플신발추천,< 10,50,0.3,0.7,4.17,1.24,3,높음
나이키커플운동화추천,< 10,50,0.0,0.0,0.0,0.0,3,높음
나이키컨버스,90,710,0.0,2.0,0.0,0.3,6,중간
나이키쿠셔닝,< 10,10,0.0,0.0,0.0,0.0,3,높음
나이키키높이스니커즈,10,120,0.2,1.0,1.02,0.85,6,중간
아기나이키신발,40,330,0.9,5.9,2.53,1.9,7,높음
나이키여성신발,60,500,1.4,25.8,2.2,5.35,7,높음
여자나이키신발,50,1150,1.1,67.0,2.25,6.16,7,높음
나이키운동화추천,410,1730,5.7,36.0,1.45,2.15,7,높음
나이키웰컴쿠폰,70,380,0.0,0.7,0.0,0.16,3,높음
나이키운동화매장,10,130,0.4,5.0,2.26,3.6,7,높음
나이키겨울운동화,1050,6790,19.1,217.5,1.87,3.27,7,높음
나이키언스트럭처,20,180,0.0,0.3,0.0,0.2,3,높음
나이키레전드,10,60,0.7,0.3,7.41,0.54,3,높음
나이키쫄티,10,220,0.0,0.3,0.0,0.16,3,높음
나이키축구팬츠,20,80,1.0,0.0,4.0,0.0,3,높음
나이키코트드라이핏,10,30,0.0,0.3,0.0,0.76,3,높음
나이키트랙클럽,20,260,0.0,0.3,0.0,0.14,3,높음
나이키폴로카라티,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
드라이핏레전드,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
드라이핏양말,10,60,0.3,0.0,1.97,0.0,3,높음
레거시91드라이핏,< 10,10,0.7,0.3,9.53,1.76,3,높음
조던스포츠,< 10,30,0.0,0.7,0.0,1.97,3,중간
DD5936-010,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
DH0858-100,10,< 10,0.0,0.0,0.0,0.0,3,높음
DQ5823-016,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
DV9316-098,< 10,< 10,0.0,0.3,0.0,11.12,3,높음
DV9741-010,10,30,0.0,0.3,0.0,1.06,3,높음
DV9842-010,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
DX0688-100,< 10,10,0.0,0.0,0.0,0.0,3,높음
DX0990-100,10,20,0.0,0.3,0.0,1.15,3,높음
DX0990-451,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
DX0992-100,10,30,0.0,0.0,0.0,0.0,1,중간
DX0994-010,60,150,0.0,0.3,0.0,0.22,3,높음
DX6011-512,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
DX6643-010,< 10,< 10,0.3,0.0,6.67,0.0,3,높음
DZ0541-010,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
FB5016-512,< 10,10,0.0,0.0,0.0,0.0,3,높음
FB5513-010,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
FB5513-503,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
FB5621-010,10,20,0.0,0.0,0.0,0.0,3,높음
FB5630-100,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
FB5633-100,< 10,20,0.0,0.0,0.0,0.0,0,낮음
FB7491-451,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
FD0907-010,30,120,0.0,0.3,0.0,0.22,3,높음
FD5609-010,< 10,10,0.0,0.0,0.0,0.0,0,낮음
FD5828-010,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
FN2325-104,< 10,10,0.0,0.0,0.0,0.0,0,낮음
FN2619-010,< 10,< 10,0.3,0.0,16.67,0.0,3,높음
FN2619-512,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
FN2799-440,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
FN2807-010,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
FN2807-100,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
FN2809-010,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
FN2815-512,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
FN3049-010,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
FN3392-053,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
FN5830-010,< 10,< 10,0.0,0.0,0.0,0.0,3,중간
FQ4781-084,20,90,0.0,0.7,0.0,0.91,3,높음
FV8393-010,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
나이키남성팬츠,10,120,0.1,1.9,1.03,1.64,7,높음
나이키드라이핏골프바지,< 10,20,0.0,0.0,0.0,0.0,3,높음
나이키드라이핏레거시91,< 10,50,0.0,0.0,0.0,0.0,3,높음
나이키드라이핏바람막이,10,100,0.0,0.0,0.0,0.0,3,높음
나이키드라이핏반팔티,< 10,30,0.0,0.0,0.0,0.0,3,높음
나이키드라이핏버킷햇,10,30,0.3,0.0,2.39,0.0,4,중간
나이키드라이핏스우시,10,60,0.0,0.0,0.0,0.0,3,높음
나이키드라이핏스트라이크,< 10,40,0.0,0.0,0.0,0.0,3,높음
나이키드라이핏아카데미,10,100,0.0,0.3,0.0,0.31,3,높음
나이키드라이핏에이스,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
나이키드라이핏카라티,< 10,10,0.2,0.3,7.7,1.5,7,높음
나이키드라이핏탱크,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
나이키드라이핏파크20,30,280,0.3,0.3,0.84,0.12,3,높음
나이키드라이핏플라이,10,80,0.0,0.3,0.0,0.44,3,높음
나이키레이스,< 10,20,0.0,0.0,0.0,0.0,3,높음
나이키주니어트레이닝,20,180,0.0,1.2,0.0,0.74,5,중간
파타고니아점퍼,90,650,0.4,2.9,0.44,0.44,7,높음
나이키신규가입쿠폰,10,10,0.0,1.0,0.0,5.0,3,중간
나이키주니어운동화,150,1990,5.0,29.5,3.11,1.5,7,높음
나이키베이퍼맥스,570,4640,9.7,30.3,1.67,0.68,7,높음
나이키에어프레스토,30,210,0.6,2.0,1.47,0.91,7,높음
나이키에어휴마라,160,900,3.0,21.0,1.76,2.18,7,높음
나이키여자운동화,290,2930,5.0,85.8,1.7,3.14,7,높음
나이키운동화가격,10,200,0.3,14.3,2.39,6.63,7,높음
나이키에어포스1블랙,110,580,3.3,16.0,2.99,2.93,7,높음
나이키에어맥스플러스,380,2480,5.7,62.8,1.49,2.52,7,높음
에어조던1,180,1290,1.0,17.0,0.62,1.36,7,높음
나이키블레이저로우플랫폼,30,320,0.4,4.8,1.1,1.38,7,높음
나이키데이브레이크220,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
나이키덩크로우SE,30,280,0.9,7.8,1.62,2.08,7,높음
W컨셉나이키,10,30,0.8,2.8,5.0,8.17,1,낮음
FD0736-104,120,510,2.7,24.3,1.82,3.36,7,높음
FD0736-103,80,420,0.7,11.3,0.7,2.37,7,높음
줌보메로5,1560,13900,28.0,147.4,1.72,1.03,10,중간
조던맨투맨,230,1360,2.1,22.3,1.0,1.73,7,높음
우먼스줌보메로5,< 10,30,0.0,1.7,0.0,4.72,6,중간
나이키줌에어파이어,50,770,0.9,34.8,1.46,3.92,7,높음
데이브레이크블랙,< 10,90,0.2,3.0,1.62,2.85,6,중간
베이퍼맥스,490,3550,4.6,10.8,0.91,0.31,7,높음
에어조던1로우,310,2880,2.3,59.0,0.71,1.86,7,높음
에어포스쉐도우,30,200,0.3,7.0,0.9,3.34,7,높음
나이키인기운동화,40,350,1.7,15.5,3.3,4.85,7,높음
나이키특가,10,30,0.3,2.9,1.69,8.88,7,높음
나이키남성런닝화,40,260,1.1,10.5,2.44,4.24,7,높음
나이키써밋,80,460,0.7,8.0,0.83,1.71,7,높음
나이키여성런닝화,120,990,1.1,59.0,0.9,6.32,8,중간
나이키신발정품,10,70,0.1,3.0,1.59,3.76,7,높음
나이키멤버,10,130,0.0,0.0,0.0,0.0,0,낮음
나이키블프세일,< 10,20,0.0,0.3,0.0,0.69,3,높음
코리아블랙프라이데이,60,120,0.3,0.3,0.31,0.17,7,높음
블랙프라이데이나이키,170,580,6.6,49.9,2.57,5.27,7,높음
갭브라,< 10,110,0.0,4.3,0.0,4.05,7,높음
미니보덴,60,850,1.0,16.6,1.57,2.02,6,중간
갭직구,50,290,1.3,11.3,2.15,3.62,7,높음
에어맥스SC,160,590,3.3,8.0,2.08,1.4,7,높음
에어맥스코코샌들,< 10,< 10,0.3,1.0,9.53,6.13,7,높음
폴더나이키,< 10,10,0.0,0.0,0.0,0.0,2,중간
CI8798-003,10,10,0.0,0.3,0.0,2.09,7,높음
나이키할인,620,2800,19.1,98.0,3.04,3.5,7,높음
에어리프트키즈,< 10,10,0.0,1.0,0.0,6.25,7,높음
나이키오프코트어저스트,80,390,1.0,8.8,1.23,2.24,7,높음
나이키와플,430,2690,6.7,62.0,1.64,2.31,7,높음
나이키이니시에이터블루,< 10,60,0.0,1.0,0.0,1.5,5,중간
나이키이니시에이터실버,170,1320,5.3,35.4,2.63,2.5,5,중간
나이키인터랙트런,240,1210,2.6,24.8,0.96,1.83,7,높음
나이키코트비전,240,1790,1.7,13.8,0.76,0.83,7,높음
나이키키즈,3050,26900,27.0,414.3,0.92,1.56,10,높음
나이키킬샷,910,5210,10.3,65.7,1.09,1.25,7,높음
나이키킬샷2레더,230,1340,3.4,15.0,1.38,1.17,7,높음
나이키킬샷레더,30,200,0.9,2.3,2.2,1.16,7,높음
나이키타이즈,370,2100,4.0,28.8,1.05,1.4,7,높음
나이키테니스,200,810,5.1,31.0,2.58,3.86,7,높음
나이키테니스화여성,30,340,0.7,15.8,1.99,4.69,7,높음
나이키테일윈드,230,1300,1.0,17.0,0.43,1.29,7,높음
나이키테일윈드79,60,400,1.7,10.8,3.07,3.27,7,높음
나이키테크팩바지,90,990,1.4,15.0,1.57,1.6,7,높음
나이키테크플리스,220,2150,2.0,15.3,0.92,0.74,7,높음
나이키톰삭스,190,1060,1.6,33.0,0.84,3.3,7,높음
나이키투인원,20,70,0.0,0.3,0.0,0.37,7,높음
나이키투인원쇼츠,50,350,1.1,7.8,1.82,2.35,7,높음
나이키트래킹화,240,840,4.4,21.3,1.89,2.52,7,높음
나이키트랙팬츠,100,640,0.6,7.5,0.52,1.23,7,높음
나이키트레이닝,260,1420,5.1,17.8,2.1,1.3,7,높음
나이키트레이닝바지,890,7780,18.1,93.2,2.03,1.26,7,높음
나이키트레이닝반바지,10,60,0.0,0.5,0.0,0.72,7,높음
나이키트레이닝복,790,5850,16.3,87.3,2.01,1.53,7,높음
나이키트레이닝세트,560,8020,16.4,103.3,2.88,1.35,7,높음
나이키트레이닝화,70,410,1.4,9.5,1.73,2.33,7,높음
나이키티셔츠,560,4150,7.0,81.3,1.25,2.01,10,높음
나이키포스로우,50,280,2.9,8.5,5.02,3.22,7,높음
나이키폴로티,20,190,0.6,1.3,1.85,0.71,7,높음
나이키퓨추라,190,1420,1.6,15.7,0.84,1.08,7,높음
나이키퓨추라모자,80,550,2.1,11.3,2.68,2.28,7,높음
나이키헤리티지,190,1390,2.7,13.8,1.46,1.02,7,높음
나이키화이트,10,150,0.1,1.5,0.72,0.95,7,높음
나이키후드,890,6690,19.9,61.8,2.25,0.94,7,높음
나이키후드집업,910,8780,6.5,106.4,0.68,1.25,10,중간
나이키후드집업여성,20,450,0.1,17.0,0.55,3.69,7,높음
나이키후드티,2270,20300,18.7,467.7,0.83,2.36,10,높음
나이키후리스,2160,18900,21.5,244.8,0.97,1.27,15,높음
나이키흰색운동화,100,1240,2.6,45.5,2.58,3.88,7,높음
남자나이키반바지,10,70,0.3,2.0,2.39,3.26,7,높음
데이브레이크검흰,< 10,40,0.0,2.5,0.0,5.44,7,높음
데이브레이크나이키,190,2180,4.4,71.0,2.12,3.23,10,중간
데이브레이크써밋화이트,20,170,0.3,4.8,0.82,2.43,7,높음
레거시91,60,210,0.0,0.0,0.0,0.0,3,높음
무신사나이키,140,420,62.6,66.5,41.45,14.59,1,중간
볼넓은나이키운동화,< 10,20,0.0,0.3,0.0,1.27,3,높음
에어맥스97실버불렛,20,130,0.7,4.0,2.39,2.84,7,높음
에어조던,620,3950,7.2,100.6,1.22,2.76,10,중간
에어포스1로우,60,400,1.4,10.3,2.14,2.88,7,높음
여름나이키운동화,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
여자나이키운동화,220,2450,2.9,103.3,1.38,4.41,15,높음
연예인나이키운동화,10,140,0.0,0.3,0.0,0.22,3,중간
올백포스,70,360,0.6,7.3,0.81,2.07,7,높음
와플트레이너,20,180,0.7,2.5,3.41,1.29,7,높음
조던1미드,70,410,1.6,9.5,2.16,2.35,7,높음
조던반팔,10,130,0.0,2.3,0.0,1.83,7,높음
조던반팔티,20,200,0.4,2.3,1.79,1.16,7,높음
조던반팔티셔츠,< 10,10,0.0,0.0,0.0,0.0,3,높음
중학생나이키운동화,10,50,0.7,0.7,4.88,1.39,3,높음
코르테즈나이키,20,170,0.1,3.8,1.03,2.5,7,높음
테일윈드79,40,300,0.1,5.3,0.33,1.71,7,높음
나이키바시티자켓,100,930,1.0,14.3,0.84,1.47,7,높음
나이키에어포스사이즈,230,1730,1.3,20.5,0.55,1.21,7,높음
나이키에어포스올백,80,460,2.6,18.0,3.07,4.35,7,높음
나이키에어포스플랫폼,10,240,0.7,8.5,5.5,4.03,7,높음
나이키에코백,360,2590,4.2,164.3,1.2,6.77,10,높음
나이키여름긴바지,< 10,20,0.0,0.0,0.0,0.0,7,높음
나이키여름모자,< 10,80,0.0,2.0,0.0,2.67,7,높음
나이키여름바람막이,10,50,0.1,1.0,1.3,1.86,7,높음
나이키여름운동화,20,260,0.9,5.8,3.18,2.42,7,높음
나이키여름트레이닝복,< 10,20,0.0,0.3,0.0,0.87,7,높음
나이키여름트레이닝복세트,< 10,10,0.0,0.0,0.0,0.0,3,높음
나이키여성,70,660,1.6,30.5,2.25,4.7,7,높음
나이키여성농구화,10,60,0.4,3.6,2.95,5.68,5,중간
나이키여성러닝화,80,400,1.3,25.5,1.78,5.54,15,높음
나이키여성레깅스,20,160,0.7,6.5,3.97,4.55,7,높음
나이키여성바람막이,30,340,0.6,8.0,1.47,2.35,7,높음
나이키여성바지,80,1140,2.7,28.3,3.44,2.48,7,높음
나이키여성반팔,10,80,0.1,0.8,1.3,0.98,7,높음
나이키여성반팔티,20,190,0.1,3.5,0.69,1.89,7,높음
나이키여성샌들,< 10,110,0.1,6.5,1.59,6.25,7,높음
나이키여성아노락,< 10,60,0.1,2.9,2.39,4.77,7,높음
나이키여성운동복,40,280,1.6,10.3,3.75,3.55,7,높음
나이키여성워킹화,20,190,0.7,11.0,2.56,5.7,7,높음
나이키여성코르테즈,10,150,0.1,3.8,1.03,2.35,7,높음
나이키여성후드집업,10,200,0.0,9.8,0.0,4.58,7,높음
나이키여자샌들,< 10,30,0.0,1.8,0.0,4.73,0,낮음
나이키오버핏맨투맨,30,810,0.0,6.5,0.0,1.15,7,높음
나이키오프코트어드저스트슬라이드,< 10,< 10,0.0,0.3,0.0,4.77,3,높음
나이키요가,50,290,1.7,5.0,2.91,1.72,7,높음
나이키웨어올데이,20,150,0.3,3.3,0.99,2.17,7,높음
나이키자켓,290,2270,2.9,12.5,0.96,0.56,7,높음
나이키장목양말,230,1850,3.7,61.6,1.59,3.34,14,높음
나이키재킷,40,230,0.1,5.8,0.3,2.43,7,높음
나이키조거,200,1170,2.6,14.8,1.27,1.3,7,높음
나이키조거팬츠사이즈,< 10,60,0.0,0.3,0.0,0.52,3,높음
나이키조끼패딩,640,6520,10.6,73.5,1.57,1.08,7,높음
나이키조던1로우,110,730,1.1,15.0,1.16,2.03,7,높음
나이키조던미드,80,490,1.4,12.5,1.84,3.0,7,높음
나이키조던반팔,< 10,40,0.0,0.8,0.0,1.99,7,높음
나이키조던반팔티,< 10,20,0.6,0.6,9.53,2.09,7,높음
나이키조던티셔츠,20,140,0.4,4.5,2.26,3.49,7,높음
나이키줌,240,1870,2.4,61.0,0.98,3.3,7,높음
나이키줌X,170,1570,0.3,28.7,0.18,1.89,7,높음
나이키줌보메로,1550,10200,24.1,90.4,1.52,0.91,7,중간
나이키줌보메로5코블스톤,130,920,4.4,27.0,3.02,2.67,7,높음
나이키줌보메로5프리미엄,20,90,1.6,3.8,8.0,4.99,5,중간
나이키추리닝세트,< 10,70,0.6,0.8,6.35,1.1,7,높음
나이키카고팬츠,260,2320,1.9,33.0,0.73,1.43,7,높음
나이키캡모자,150,1240,4.6,36.0,3.07,3.0,7,높음
나이키코르테즈23,10,220,0.0,5.6,0.0,2.36,6,중간
나이키코트,190,1340,2.1,15.3,1.05,1.19,7,높음
나이키코트로얄2,110,890,1.3,19.8,1.16,2.27,7,높음
나이키크롭반팔,10,90,0.0,0.0,0.0,0.0,7,높음
나이키클럽플리스,230,1580,2.0,14.0,0.83,0.84,7,높음
GAPKIDS,30,130,0.0,3.1,0.0,2.23,5,중간
AIRMAX90,10,100,0.7,2.3,5.11,2.74,7,높음
나이키MAX,< 10,20,0.3,0.0,4.77,0.0,3,높음
FB8825-001,270,1550,2.2,31.5,0.79,2.03,7,높음
나이키코트비전로우,590,4500,7.4,54.0,1.28,1.21,7,높음
자라키즈세일,210,2470,1.1,16.1,0.54,0.74,7,높음
DQ5768-133,60,560,0.0,0.0,0.0,0.0,0,낮음
DQ5616-133,130,1190,0.3,5.7,0.22,0.49,3,중간
DN1791-100,20,70,0.4,2.3,1.27,2.07,7,높음
DQ5888-104,10,60,0.0,0.0,0.0,0.0,3,높음
헤리티지86,60,250,1.0,6.0,1.48,2.56,7,높음
에어포스플랫폼,10,160,0.0,0.7,0.0,0.46,3,높음
TC7900,560,3410,8.0,106.8,1.38,3.1,14,높음
나이키DD9682-100,< 10,50,0.0,0.0,0.0,0.0,3,높음
나이키DQ5768-133,< 10,20,0.3,0.7,11.12,2.3,3,높음
AR3566-100,30,70,0.3,0.0,0.86,0.0,3,높음
나이키덩크로우발렌타인,< 10,20,0.0,0.3,0.0,1.62,0,낮음
나이키브이투케이런,< 10,80,0.0,0.0,0.0,0.0,1,중간
나이키에어포스1플랫폼,10,90,0.4,3.3,3.3,3.62,7,높음
나이키운동티셔츠,< 10,30,0.0,0.0,0.0,0.0,3,높음
나이키줌보메로5블랙,340,2000,6.6,55.8,1.9,2.48,6,중간
나이키코르테즈TXT,30,200,1.6,4.3,5.45,2.2,5,중간
나이키코르테즈화이트앤블랙,< 10,30,0.0,0.0,0.0,0.0,3,높음
913011-341,< 10,10,0.0,0.9,0.0,7.41,1,중간
나이키크롭맨투맨,80,940,0.9,21.3,1.1,2.2,7,높음
나이키통굽샌들,< 10,20,0.2,1.3,5.0,7.41,5,중간
갭맨투맨,50,650,1.3,16.3,2.08,2.58,7,높음
갭키즈팬티,< 10,50,0.0,0.5,0.0,0.97,7,높음
GAP후드,50,250,0.3,5.0,0.46,1.99,7,높음
ZARAKIDS,190,1600,0.5,16.1,0.25,1.01,6,중간
키즈자라,60,710,0.0,13.7,0.0,1.99,4,중간
자라할인,530,3150,0.0,0.3,0.0,0.02,3,높음
갭키즈티셔츠,< 10,40,0.0,0.7,0.0,1.42,7,높음
갭토들러,< 10,100,0.0,0.9,0.0,0.85,4,중간
캡키즈,40,210,0.4,3.5,1.03,1.54,7,높음
FV2923-300,20,60,0.0,0.0,0.0,0.0,0,낮음
FZ0549-600,20,20,0.0,0.0,0.0,0.0,0,낮음
MAX90,< 10,40,0.4,0.3,5.36,0.6,7,높음
NIKEFIELDGENERAL82,< 10,< 10,0.7,0.0,33.34,0.0,2,중간
FV2923-001,120,250,0.0,0.0,0.0,0.0,0,낮음
FQ7079-001,20,70,0.7,0.0,4.77,0.0,3,높음
FN6983-100,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
FJ1912-001,< 10,20,0.0,0.0,0.0,0.0,0,낮음
FB7727-100,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
AIRMAX97,10,50,0.3,2.8,2.6,4.24,7,높음
DV3337-008,10,30,0.3,1.1,3.04,2.19,3,높음
에어포스블랙,760,7840,14.6,214.8,2.0,2.97,10,중간
에어포스된장,650,5450,9.1,243.4,1.51,4.9,10,중간
에어포스107,380,2870,6.3,90.0,1.68,3.36,15,높음
된장포스,3260,25700,44.9,927.3,1.43,3.83,10,높음
나이키에어포스된장,410,3250,5.2,122.4,1.34,4.14,13,중간
나이키덩크로우레트로,350,2900,7.0,70.9,1.75,2.42,7,높음
나이키AIR,30,270,0.3,3.3,0.9,1.33,7,높음
나이키ACG신발,610,5390,8.7,129.3,1.5,2.47,7,높음
나이키ACGMOC,10,190,1.1,1.5,6.42,0.81,5,중간
GAP베이비,10,370,0.4,14.3,2.05,4.06,7,높음
자라키즈직구,< 10,30,0.0,0.6,0.0,1.71,6,중간
미국보덴,< 10,20,0.0,0.0,0.0,0.0,3,높음
MINIBODEN,< 10,50,0.5,0.3,7.41,0.61,4,중간
보덴할인코드,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
보덴수영복,< 10,30,0.0,0.0,0.0,0.0,3,중간
보덴사이즈,< 10,30,0.0,0.0,0.0,0.0,3,높음
미니보덴수영복,< 10,20,0.0,0.7,0.0,2.71,3,높음
GAP,5210,14600,18.1,124.5,0.36,0.87,7,높음
베이비보덴,< 10,280,0.4,4.7,3.78,1.77,5,중간
OLDNAVY,130,650,1.1,14.8,0.83,2.33,7,높음
보덴직구,30,210,0.2,2.2,0.4,1.17,6,중간
갭주니어,< 10,30,0.0,2.0,0.0,6.46,7,높음
아디다스구매대행,< 10,10,0.0,4.8,0.0,13.98,7,높음
영국보덴,90,390,0.0,0.3,0.0,0.09,3,높음
ACG후드,110,580,2.1,13.3,1.8,2.3,4,중간
나이키ACG바지,150,1010,2.7,36.0,1.89,3.89,7,높음
나이키ACG반바지,10,50,0.0,1.3,0.0,2.47,7,높음
나이키ACG신더콘,< 10,20,0.0,0.3,0.0,1.12,3,높음
나이키ACG자켓,50,400,0.7,7.3,1.38,2.04,7,높음
ACG반팔,30,220,0.3,4.2,0.83,1.93,7,높음
ACG반바지,30,90,0.8,3.0,2.28,3.1,4,중간
ACG바지,260,1770,7.5,25.0,2.96,1.45,5,중간
트래비스스캇조던,140,920,1.1,12.4,0.76,1.46,6,중간
ACG맨투맨,70,440,2.6,12.3,3.33,2.76,4,중간
ACG바람막이,230,1450,1.4,5.8,0.65,0.44,7,높음
와플트레이너2,20,160,1.4,5.3,4.77,2.92,7,높음
나이키V2K,3660,41800,28.0,781.8,0.75,1.81,15,높음
보덴원피스,< 10,40,0.0,0.0,0.0,0.0,3,높음
갭키즈후드,10,230,0.0,2.4,0.0,1.05,5,중간
갭키즈,730,6080,4.9,164.3,0.67,2.7,7,높음
나이키ACG마운틴플라이,250,2320,2.4,75.0,0.97,3.33,7,높음
에어맥스DN,410,1940,4.9,37.0,1.22,1.98,7,높음
갭키즈후드집업,30,380,0.1,4.0,0.42,0.92,7,높음
갭키즈사이즈,20,290,0.0,0.0,0.0,0.0,3,중간
갭아기옷,< 10,30,0.0,0.0,0.0,0.0,7,높음
갭아울렛,< 10,50,0.0,0.0,0.0,0.0,3,높음
갭키즈수영복,10,140,0.3,0.3,1.79,0.25,7,높음
나이키ACG마운틴플라이2로우,180,950,3.7,11.8,2.1,1.29,6,중간
에어맥스2013,320,2020,6.6,14.7,1.72,0.64,7,높음
아소스직구,90,230,0.0,2.4,0.0,1.06,6,중간
갭후드집업,100,1660,0.7,42.8,0.67,2.56,7,높음
갭모자,30,370,0.2,0.5,0.57,0.15,6,중간
갭베이비우주복,40,1180,0.0,4.7,0.0,0.39,5,중간
갭티셔츠,20,160,0.6,4.8,2.12,3.05,7,높음
타미힐피거구매대행,< 10,30,0.0,1.6,0.0,5.09,7,높음
GAP매장,130,1080,0.4,9.3,0.27,0.9,6,중간
갭키즈패딩,70,1040,0.9,5.6,1.18,0.52,7,높음
에어맥스97,1620,12000,26.5,228.0,1.73,1.99,10,중간
갭베이비후드집업,< 10,210,0.0,2.9,0.0,1.23,7,높음
갭후드티,270,2820,5.0,74.0,1.8,2.67,8,중간
갭,1750,8490,10.8,174.8,0.6,2.12,8,중간
갭후드,80,620,0.4,11.3,0.5,1.87,7,높음
갭여성,< 10,30,0.4,0.6,5.36,1.79,7,높음
GAP반팔,< 10,30,0.1,0.3,3.58,0.81,7,높음
갭세일,< 10,20,0.0,0.0,0.0,0.0,3,높음
GAP자켓,< 10,40,0.0,0.7,0.0,1.24,3,높음
갭매장,80,790,0.0,4.5,0.0,0.6,5,중간
GAP셔츠,< 10,40,0.0,1.0,0.0,2.05,7,높음
겝,40,220,0.0,0.0,0.0,0.0,3,높음
GAP후드티,240,2560,2.7,70.0,1.07,2.75,7,높음
